"earn","height","sex","ed","age","race"
50000,74.4244387818035,"male",16,45,"white"
60000,65.5375428255647,"female",16,58,"white"
30000,63.6291977374349,"female",16,29,"white"
50000,63.1085616752971,"female",16,91,"other"
51000,63.4024835710879,"female",17,39,"white"
9000,64.3995075440034,"female",15,26,"white"
29000,61.6563258264214,"female",12,49,"white"
32000,72.6985437364783,"male",17,46,"white"
2000,72.0394668497611,"male",15,21,"hispanic"
27000,72.2349325611722,"male",12,26,"white"
6530,69.5121464275289,"male",16,65,"white"
30000,68.0316082600038,"male",11,34,"white"
12000,67.556933917338,"male",12,27,"white"
12000,65.4305870763492,"female",12,51,"white"
22000,65.6628545243293,"female",16,35,"white"
17000,67.7587687384803,"male",12,58,"white"
40000,68.3518425801303,"female",14,29,"white"
44000,69.6095718003344,"male",13,44,"white"
7000,64.1845656777732,"female",12,55,"black"
53000,73.0746091497131,"male",13,35,"black"
5000,62.3755270198453,"female",13,51,"white"
14000,63.0239301056135,"female",14,21,"white"
5500,67.2299039133359,"male",14,22,"white"
40000,65.551107801497,"female",12,41,"white"
34000,72.0796453857329,"male",12,45,"white"
10000,63.0911300827283,"female",12,35,"black"
27000,64.3235489164945,"female",16,60,"white"
50000,71.6428528276738,"male",16,38,"white"
41000,76.7930946839042,"male",16,33,"white"
15000,63.8939143288881,"female",14,25,"white"
25000,63.8026230719406,"female",12,33,"white"
75000,71.5922314410564,"male",17,39,"white"
27000,67.5219634829555,"male",17,31,"white"
12000,64.3943514756393,"female",12,26,"white"
7500,61.1782226648647,"female",14,78,"white"
30000,66.9838783009909,"female",14,31,"black"
21000,65.3164557656273,"female",12,57,"white"
27000,63.5741851450875,"female",14,26,"white"
3000,66.6110004822258,"female",15,65,"white"
25000,64.9117550808005,"female",12,30,"white"
24000,64.7896799838636,"female",12,41,"white"
32000,66.937690645922,"female",18,29,"white"
10000,68.1728129491676,"female",17,30,"white"
11000,60.4506599237211,"female",12,21,"hispanic"
18700,64.7932535589207,"female",13,32,"white"
20000,61.8149190000258,"female",12,29,"white"
3500,71.5721453060396,"male",10,18,"white"
13000,67.3144058254547,"male",8,56,"black"
25000,69.8998733619228,"male",12,65,"white"
21000,69.7617020171601,"male",17,41,"white"
34000,67.7464710318018,"female",17,49,"white"
6000,60.190221529454,"female",12,65,"white"
17000,71.0064998776652,"male",12,28,"white"
35000,71.1667981331702,"male",12,32,"white"
4000,72.7356298717204,"male",13,18,"white"
14000,68.1382231093012,"female",14,55,"white"
10000,66.3798112401273,"female",12,57,"white"
25000,69.2327845250256,"male",16,29,"white"
16000,63.2739377985708,"female",14,27,"white"
16000,61.8277627213392,"male",14,28,"hispanic"
16500,64.2212092091795,"female",14,43,"white"
4000,63.841265113093,"female",9,68,"white"
3840,66.9747701257002,"female",9,52,"white"
22000,71.451489093015,"male",12,39,"white"
200,59.6126462582033,"female",16,53,"white"
26000,65.7993855320383,"female",16,27,"white"
2500,66.4580405310262,"female",15,21,"white"
17000,64.60288038617,"female",14,39,"white"
8000,70.4404814683367,"female",13,22,"white"
12000,65.922813506797,"female",13,68,"white"
10000,61.8568268497474,"female",12,47,"white"
10000,65.7844401644543,"female",15,67,"white"
15000,71.8312798414845,"male",12,39,"white"
2400,67.0453292939346,"female",8,39,"hispanic"
30000,68.3055060780607,"male",12,32,"hispanic"
30000,70.0254597608,"male",12,33,"white"
10000,61.810385880759,"female",12,38,"white"
5000,62.9510710034519,"female",13,26,"white"
12000,65.8211369581986,"female",13,63,"white"
20000,70.3975481863599,"female",10,61,"white"
20000,68.3777844423894,"female",12,36,"white"
20000,69.9326998807956,"male",14,23,"white"
1200,66.1718059259001,"female",12,20,"white"
700,68.4563631031197,"female",16,32,"white"
20000,69.9038575142622,"male",16,27,"white"
10000,61.1496579824015,"female",12,22,"hispanic"
30000,63.3633463280275,"female",12,73,"white"
40000,64.1470837995876,"female",14,56,"white"
25000,67.3183904122561,"male",12,89,"white"
10000,60.6749360549729,"female",17,79,"white"
60000,68.840902544558,"female",18,63,"white"
18000,67.6827305052429,"female",12,66,"white"
16040,64.4967685842421,"female",12,33,"white"
15000,66.8124041855335,"female",14,30,"black"
10000,68.7464377458673,"male",17,23,"white"
33000,67.0676490592305,"female",13,43,"white"
18000,68.1379930116236,"female",12,30,"white"
15000,63.3428967916407,"female",12,37,"white"
21000,71.3866663060617,"male",12,22,"white"
21000,63.9883370213211,"female",17,43,"black"
37000,68.4863865228835,"male",11,37,"white"
38000,67.5161435012706,"female",17,44,"white"
17000,65.6008437511045,"female",14,43,"hispanic"
32000,76.800193942152,"male",16,30,"white"
27500,67.1053807893768,"female",12,58,"white"
16500,62.1516434333753,"female",12,44,"white"
25000,66.8676242611837,"female",18,35,"white"
27000,61.0422025278676,"female",18,43,"white"
5000,64.1232857718132,"female",12,28,"white"
70000,61.5448151710443,"female",16,38,"white"
5000,62.5562363923527,"female",12,40,"white"
5000,68.1637655736413,"male",16,24,"white"
20000,63.6551274901722,"female",15,26,"white"
4000,72.373517293483,"male",15,21,"white"
60000,64.1470823881682,"female",16,35,"white"
5000,61.3266997484025,"female",13,31,"white"
30000,74.3663964397274,"male",12,38,"white"
70000,70.2101620207541,"male",14,35,"white"
50000,71.106188031612,"male",16,41,"white"
44000,62.594844043022,"female",12,39,"white"
30000,64.0549647742882,"female",14,43,"white"
10000,61.573618854396,"female",16,40,"white"
23000,70.4801993905567,"female",17,42,"white"
45000,71.1859069743659,"male",17,62,"white"
15000,71.4336384225171,"male",14,31,"white"
4000,70.2288485858589,"female",14,71,"white"
17000,67.2808580445126,"male",14,31,"white"
30000,63.7586912042461,"female",12,32,"white"
27500,67.0865156073123,"female",12,30,"white"
5688,61.679597878363,"female",8,69,"white"
18000,62.285998323001,"female",13,56,"hispanic"
43000,68.2924768726807,"male",13,44,"black"
32000,61.5894825500436,"female",14,44,"black"
10000,68.4177351850085,"female",18,56,"black"
60000,73.9912551299203,"male",13,45,"white"
21000,67.5610723162536,"female",12,50,"other"
2400,62.3379296525382,"female",16,22,"white"
1000,66.2400088959839,"female",15,28,"white"
27000,68.0984727463219,"male",12,27,"white"
6600,59.7708697339986,"female",14,28,"hispanic"
16000,68.0633805643301,"male",8,43,"white"
90000,71.6801480520517,"male",12,26,"white"
8000,66.3597083494533,"female",12,42,"white"
20000,68.3562582309823,"male",10,32,"white"
15000,68.4565424812026,"female",12,18,"white"
12000,68.7861042914446,"female",12,60,"white"
24000,64.1022426583804,"female",16,46,"white"
20000,65.1134854783304,"female",14,39,"white"
19000,60.6491858377121,"female",12,46,"white"
10000,72.1257029925473,"male",12,49,"white"
40000,65.5107300695963,"female",16,34,"white"
25000,67.931898314273,"male",14,64,"white"
25000,70.4449232395273,"male",12,24,"white"
25000,71.3658544581849,"male",14,32,"white"
19000,71.1250733132474,"male",16,61,"white"
44000,68.1601368142292,"male",16,48,"white"
15000,60.1133276864421,"female",14,49,"white"
17000,62.7881975469645,"female",12,36,"white"
24000,68.0777218828443,"male",12,56,"white"
23000,64.0508421198465,"female",12,37,"white"
13000,69.7157963842619,"male",12,74,"white"
65000,68.2206725352444,"male",16,46,"white"
7000,60.8838594953995,"female",12,63,"white"
40000,68.4075396999251,"male",18,63,"white"
15000,66.0019799831789,"female",17,43,"white"
20000,69.7978899071459,"male",16,25,"white"
20000,71.0107113404665,"male",12,50,"white"
20000,65.1424107500352,"female",12,42,"white"
25000,65.9671088184696,"female",12,49,"white"
49000,69.9905325989239,"male",13,37,"white"
25000,61.8766771967057,"female",12,65,"white"
11000,66.1088806597982,"female",14,57,"white"
16000,61.054305461701,"female",15,38,"white"
35000,71.5635653017089,"male",14,43,"white"
125000,74.3406224281061,"male",18,45,"white"
23000,66.5769884118345,"female",12,47,"white"
17000,66.1104431450367,"female",16,28,"white"
27000,61.9656850092579,"female",12,41,"white"
70000,71.7455116605852,"male",14,32,"white"
35000,64.5622197962366,"female",15,47,"white"
10000,60.1988203886431,"female",12,62,"white"
35000,61.9163728298154,"female",15,39,"white"
15000,66.4135520232376,"female",12,38,"white"
12000,63.6985211905558,"female",12,39,"white"
8000,71.2909144631121,"male",12,68,"white"
8000,65.2537561147474,"female",12,50,"white"
35000,73.0054612359963,"male",18,50,"white"
45000,68.6400743776467,"male",11,51,"white"
15000,64.3814524675254,"female",14,22,"white"
15000,61.060264130123,"female",12,77,"white"
24000,66.7893646617886,"female",18,51,"white"
25000,61.8292980391998,"female",13,32,"white"
25000,62.6095600808039,"female",14,54,"black"
20000,67.3646558583714,"male",10,28,"other"
24000,68.0169713827781,"female",12,24,"white"
44000,72.0641469496768,"male",16,46,"white"
69000,70.1086239435244,"male",12,38,"white"
62000,69.8524850972462,"male",18,44,"white"
32000,67.4552509614732,"male",14,32,"black"
20000,63.4531285660341,"female",12,33,"black"
32000,66.2929654479958,"female",18,35,"other"
25000,65.8347965243738,"female",17,50,"white"
170000,71.0100344805978,"male",18,45,"white"
35000,66.6194241039921,"male",16,33,"white"
40000,75.5685887699947,"male",16,38,"black"
33000,68.9521992248483,"male",14,30,"white"
18000,65.3487340502907,"female",12,22,"white"
30000,61.7521165187936,"female",13,43,"white"
26000,61.7641323632561,"female",12,31,"white"
5000,62.4114694842137,"female",12,21,"white"
20000,61.9043291150592,"female",16,73,"white"
17000,60.6386099145748,"female",12,30,"white"
32000,64.8245771916118,"female",14,28,"white"
15000,72.2707532981876,"male",14,22,"white"
50000,71.6722751564812,"male",14,55,"white"
8000,63.7709283335134,"female",12,39,"white"
40000,70.7865930511616,"male",14,51,"white"
40000,72.4097947853152,"male",15,41,"white"
32750,66.0879790608305,"male",12,34,"white"
20000,64.9993283268996,"female",14,69,"white"
36000,64.5292996137869,"female",15,39,"black"
6000,61.7426805158611,"female",12,64,"white"
12000,65.8403102068696,"female",14,34,"black"
60000,67.3996410432737,"male",14,63,"white"
40000,64.0222736096475,"female",13,44,"white"
43000,63.2261417340487,"female",12,38,"white"
45000,67.4942982199136,"female",16,34,"white"
6000,68.0021204266232,"female",18,39,"white"
8000,63.8579060945194,"female",10,82,"other"
20000,64.3950642363634,"female",13,39,"black"
17000,66.4390075663105,"male",12,23,"black"
2000,64.7653775643557,"female",12,32,"white"
65000,64.5385617208667,"male",12,28,"white"
50000,71.5859264181927,"male",12,41,"white"
11000,68.3482216782868,"female",12,38,"white"
35000,74.4332039365545,"male",18,30,"white"
27000,63.2176964336541,"male",12,33,"white"
3500,64.3143166177906,"female",12,61,"white"
42000,68.151459841989,"male",12,37,"white"
20000,67.4949548291042,"female",18,29,"white"
15000,67.3161722151563,"female",12,29,"white"
10000,72.9867232539691,"male",12,21,"white"
6000,70.4911553743295,"male",8,78,"white"
17000,64.8857527959626,"female",16,23,"hispanic"
35000,68.5404915455729,"male",16,65,"hispanic"
28000,76.6806674997788,"male",14,28,"white"
15000,67.6939624159131,"female",12,33,"white"
20000,61.971335722832,"female",17,24,"white"
20000,64.2127027346287,"female",12,29,"white"
10500,67.2224749971647,"male",12,42,"hispanic"
13000,69.9021423184313,"male",16,22,"white"
10000,61.7774477005005,"female",12,52,"white"
3000,63.0813513626345,"female",12,37,"white"
24000,62.3348689735867,"female",14,29,"white"
17000,68.695835353341,"female",13,35,"white"
11000,64.0980117693543,"female",12,48,"white"
32000,69.0340046833735,"female",14,40,"white"
17000,58.6603171806782,"female",15,26,"white"
3000,66.2262486482505,"female",12,35,"other"
2100,62.0912556687836,"female",12,21,"black"
3192,75.1384511068463,"male",11,34,"black"
17000,63.3142780221533,"female",17,26,"white"
30000,64.5540995923802,"female",13,28,"white"
15000,69.800360027235,"male",12,32,"white"
24000,67.84324762295,"female",16,42,"white"
10000,64.9500718824565,"female",14,67,"white"
50000,69.2183067407459,"male",8,53,"white"
50000,71.886122808326,"male",16,53,"white"
20000,63.5242558056489,"female",17,49,"white"
30000,62.6785580585711,"female",18,54,"hispanic"
22000,73.4739420006517,"female",14,45,"white"
27000,75.094072466949,"male",12,24,"white"
4000,64.7730634394102,"female",12,38,"white"
17500,66.2535254813265,"female",17,26,"white"
16500,66.393509085523,"female",14,28,"white"
